1,2,1903,957,187,437,1,1,1
1,3,1126,881,180,485,1,1,1
1,4,1464,976,174,469,1,1,1
1,5,2167,736,171,405,1,1,1
2,2,1903,957,187,437,1,1,1
2,3,1126,881,180,485,1,1,1
2,4,1464,976,164,469,1,1,1
2,5,2167,736,171,405,1,1,1
3,2,1902,957,187,437,1,1,1
3,3,1126,881,180,485,1,1,1
3,4,1464,976,164,469,1,1,1
3,5,2166,736,171,405,1,1,1
4,2,1902,957,187,437,1,1,1
4,3,1126,880,180,485,1,1,1
4,4,1464,976,164,469,1,1,1
4,5,2166,736,171,404,1,1,1
5,2,1901,959,186,435,1,1,1
5,3,1126,880,180,485,1,1,1
5,4,1464,975,164,469,1,1,1
5,5,2166,735,171,404,1,1,1
6,2,1901,958,186,435,1,1,1
6,3,1126,880,180,484,1,1,1
6,4,1463,975,164,468,1,1,1
6,5,2165,735,171,404,1,1,1
7,2,1900,958,187,437,1,1,1
7,3,1126,879,179,484,1,1,1
7,4,1463,974,164,468,1,1,1
7,5,2165,733,171,405,1,1,1
8,2,1900,957,187,437,1,1,1
8,3,1126,879,179,483,1,1,1
8,4,1462,974,164,468,1,1,1
8,5,2165,733,171,405,1,1,1
9,2,1900,957,188,438,1,1,1
9,3,1126,878,179,483,1,1,1
9,4,1463,974,164,468,1,1,1
9,5,2165,732,171,406,1,1,1
10,2,1900,953,188,443,1,1,1
10,3,1125,879,179,483,1,1,1
10,4,1462,973,164,469,1,1,1
10,5,2165,732,171,405,1,1,1
11,2,1900,953,188,444,1,1,1
11,3,1126,879,179,484,1,1,1
11,4,1463,973,164,469,1,1,1
11,5,2166,732,171,406,1,1,1
12,2,1900,953,188,444,1,1,1
12,3,1126,879,180,484,1,1,1
12,4,1463,974,164,469,1,1,1
12,5,2166,733,171,406,1,1,1
13,2,1901,954,188,444,1,1,1
13,3,1126,880,180,484,1,1,1
13,4,1463,974,164,469,1,1,1
13,5,2166,733,171,406,1,1,1
14,2,1901,954,188,444,1,1,1
14,3,1126,880,180,484,1,1,1
14,4,1463,975,164,469,1,1,1
14,5,2166,733,171,406,1,1,1
15,2,1900,954,189,444,1,1,1
15,3,1127,880,180,484,1,1,1
15,4,1463,975,164,469,1,1,1
15,5,2166,733,171,406,1,1,1
16,2,1901,954,189,444,1,1,1
16,3,1127,880,180,484,1,1,1
16,4,1463,975,164,469,1,1,1
16,5,2166,733,172,406,1,1,1
17,2,1901,954,189,444,1,1,1
17,3,1127,880,180,484,1,1,1
17,4,1463,975,164,469,1,1,1
17,5,2166,733,172,407,1,1,1
18,2,1901,955,189,444,1,1,1
18,3,1127,880,180,484,1,1,1
18,4,1463,975,164,470,1,1,1
18,5,2166,733,172,407,1,1,1
19,2,1901,955,189,444,1,1,1
19,3,1126,881,180,484,1,1,1
19,4,1463,975,164,470,1,1,1
19,5,2166,733,172,407,1,1,1
20,2,1901,955,188,444,1,1,1
20,3,1127,881,179,483,1,1,1
20,4,1463,975,164,470,1,1,1
20,5,2166,733,172,407,1,1,1
21,2,1902,955,188,444,1,1,1
21,3,1127,881,179,483,1,1,1
21,4,1463,975,164,470,1,1,1
21,5,2166,733,172,407,1,1,1
22,2,1902,955,188,444,1,1,1
22,3,1127,881,180,484,1,1,1
22,4,1464,975,165,471,1,1,1
22,5,2166,733,172,407,1,1,1
23,2,1902,956,188,443,1,1,1
23,3,1127,881,180,484,1,1,1
23,4,1464,976,164,470,1,1,1
23,5,2159,733,179,407,1,1,1
24,2,1902,956,188,443,1,1,1
24,3,1127,882,180,484,1,1,1
24,4,1464,976,164,470,1,1,1
24,5,2153,729,179,407,1,1,1
